TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpThisIter,EpLenMean,loss_kl,EpRewMean,loss_vf_loss,ev_tdlam_before,loss_pol_entpen
876544,1305,0.97192174,1396.2287719249725,-0.021852866,6,756.61,0.0071393256,0.32,0.015065938,0.8982479423284531,0.0
880640,1310,0.9550405,1401.3312079906464,-0.022784859,5,752.84,0.007122444,0.24,0.022958176,0.8510705530643463,0.0
884736,1316,0.95239025,1406.8126118183136,-0.021908047,6,745.99,0.0075562075,0.27,0.012958675,0.9204485639929771,0.0
888832,1322,0.9400294,1412.2275199890137,-0.02279866,6,743.93,0.008195922,0.23,0.018292889,0.886463537812233,0.0
892928,1327,0.9502639,1417.002424955368,-0.022322582,5,748.05,0.007882227,0.27,0.016634252,0.9298512190580368,0.0
897024,1333,0.92923945,1421.5725769996643,-0.023629738,6,750.83,0.007540805,0.31,0.014879333,0.92788315564394,0.0
901120,1337,0.9480567,1496.318832874298,-0.020888913,4,759.88,0.008193732,0.35,0.017411029,0.9193603694438934,0.0
905216,1343,0.86781627,1501.078908920288,-0.02121164,6,753.13,0.0073208814,0.42,0.016556606,0.9066217467188835,0.0
909312,1348,0.9337738,1505.8583891391754,-0.019739902,5,750.05,0.006806367,0.4,0.015692005,0.9260815009474754,0.0
913408,1354,0.9022854,1510.737058877945,-0.025582677,6,748.2,0.009269689,0.58,0.01772786,0.8913935720920563,0.0
917504,1359,0.9531079,1515.6896450519562,-0.023199916,5,744.39,0.007008642,0.51,0.017901434,0.9060138091444969,0.0
921600,1365,0.955665,1520.7186949253082,-0.026389733,6,746.17,0.008718278,0.34,0.020608572,0.892817959189415,0.0
925696,1371,0.88472354,1526.3286800384521,-0.022235408,6,746.55,0.0058357613,0.41,0.016855441,0.9122873619198799,0.0
929792,1376,0.8772126,1531.7881491184235,-0.025691299,5,748.46,0.008401823,0.53,0.015685735,0.8818511962890625,0.0
933888,1381,0.91490245,1537.0565099716187,-0.024525814,5,745.77,0.011115873,0.62,0.024594242,0.8627410978078842,0.0
937984,1386,0.90900296,1541.9903020858765,-0.021351853,5,749.1,0.0077552805,0.66,0.025321426,0.8681005090475082,0.0
942080,1391,0.9156881,1546.711012840271,-0.023225632,5,747.72,0.0071514063,0.68,0.01977361,0.8606672883033752,0.0
946176,1396,0.93161535,1551.4354140758514,-0.02239036,5,753.57,0.007864812,0.7,0.017061682,0.88963483273983,0.0
950272,1401,0.9654508,1556.585459947586,-0.025721664,5,754.81,0.007940893,0.56,0.026123188,0.851333886384964,0.0
954368,1406,0.9151602,1561.7475140094757,-0.02231857,5,769.61,0.008330013,0.54,0.017913537,0.9071260690689087,0.0
958464,1411,0.91509956,1566.6402390003204,-0.01947048,5,768.95,0.006431639,0.6,0.014343723,0.9016968533396721,0.0
962560,1417,0.8896071,1571.158711194992,-0.022578875,6,769.88,0.008382465,0.56,0.014149461,0.9290793091058731,0.0
966656,1422,0.9078375,1575.7766239643097,-0.022713864,5,778.91,0.0070998124,0.58,0.0125158075,0.9192315712571144,0.0
970752,1427,0.90383124,1580.4536259174347,-0.02300513,5,775.52,0.008126139,0.59,0.01781871,0.8829052448272705,0.0
974848,1432,0.8868016,1585.3493688106537,-0.026350489,5,776.26,0.008584833,0.64,0.025039958,0.8311103135347366,0.0
978944,1438,0.86564565,1590.3931229114532,-0.024049938,6,770.69,0.008503132,0.57,0.021322338,0.8562944084405899,0.0
983040,1443,0.8599122,1595.3404140472412,-0.022834215,5,778.19,0.007185404,0.49,0.02362382,0.8547277301549911,0.0
987136,1448,0.8862381,1599.8701860904694,-0.024901533,5,783.19,0.008504175,0.48,0.014228274,0.8904137015342712,0.0
991232,1454,0.87494075,1604.3621859550476,-0.021633266,6,780.52,0.007238168,0.38,0.016690258,0.8914112523198128,0.0
995328,1459,0.88717574,1608.8846538066864,-0.021115448,5,782.12,0.0071825846,0.48,0.015305199,0.9147599041461945,0.0
999424,1464,0.88237995,1613.427416086197,-0.02627036,5,785.08,0.008344766,0.62,0.015117503,0.9061373323202133,0.0
1003520,1469,0.89106935,1683.1744229793549,-0.024990307,5,789.81,0.00881757,0.62,0.03861752,0.7121885120868683,0.0
1007616,1474,0.9163385,1687.5665459632874,-0.021926867,5,793.1,0.007496946,0.56,0.02243006,0.8765461221337318,0.0
1011712,1479,0.93548274,1691.7788407802582,-0.023514189,5,793.28,0.009034225,0.41,0.01840937,0.8826392963528633,0.0
1015808,1485,0.9266318,1696.70410490036,-0.025882633,6,792.76,0.010130774,0.34,0.01834646,0.8999853506684303,0.0
1019904,1490,0.8831165,1703.0279359817505,-0.022869248,5,789.92,0.007698618,0.49,0.018091656,0.863438218832016,0.0
1024000,1495,0.9030409,1708.533364057541,-0.022366354,5,790.3,0.007315714,0.57,0.019552136,0.8653256893157959,0.0
1028096,1500,0.9177105,1713.2562141418457,-0.027081765,5,791.03,0.0076679136,0.54,0.019294083,0.8574835956096649,0.0
1032192,1505,0.910487,1717.704069852829,-0.023010721,5,787.51,0.007774857,0.61,0.019277947,0.8534341752529144,0.0
1036288,1510,0.9416426,1722.093810081482,-0.022894438,5,790.9,0.008525288,0.53,0.011639997,0.9064035043120384,0.0
1040384,1514,0.90856206,1726.4029278755188,-0.026499325,4,797.4,0.008297299,0.46,0.014442356,0.8822130113840103,0.0
1044480,1519,0.9036223,1730.6349477767944,-0.02269043,5,801.19,0.009012468,0.43,0.025078751,0.8644257187843323,0.0
1048576,1524,0.9188108,1734.8911139965057,-0.024643417,5,799.51,0.009330819,0.46,0.02309045,0.863911047577858,0.0
1052672,1529,0.8828139,1739.1154999732971,-0.023822136,5,800.71,0.007483668,0.35,0.017715232,0.8564108163118362,0.0
1056768,1534,0.9050466,1743.298040151596,-0.02165783,5,807.06,0.009134651,0.39,0.018015161,0.8830863684415817,0.0
1060864,1539,0.9155225,1747.4169218540192,-0.022708898,5,804.94,0.008462681,0.27,0.01577294,0.9119564220309258,0.0
1064960,1545,0.8824797,1751.5344619750977,-0.026507165,6,798.14,0.008200496,0.36,0.0150626935,0.9136384949088097,0.0
1069056,1551,0.91530305,1755.4472529888153,-0.022707755,6,797.75,0.0076780845,0.45,0.017176451,0.8954377248883247,0.0
1073152,1556,0.89718485,1759.7294731140137,-0.025865367,5,802.07,0.0090362225,0.38,0.018655216,0.8845201954245567,0.0
1077248,1560,0.9094825,1763.8206868171692,-0.025045862,4,809.05,0.008802998,0.42,0.017862288,0.8742088228464127,0.0
1081344,1565,0.9065618,1767.8380630016327,-0.024897955,5,815.06,0.00882921,0.34,0.019088106,0.8462272584438324,0.0
1085440,1570,0.9005829,1771.9364879131317,-0.023105081,5,817.15,0.006656322,0.25,0.018182924,0.8985774517059326,0.0
1089536,1575,0.8905748,1776.0051519870758,-0.02645294,5,818.65,0.007238633,0.37,0.02286,0.8520366996526718,0.0
1093632,1581,0.93661565,1780.1606049537659,-0.025595827,6,809.41,0.009945203,0.36,0.01736588,0.881012536585331,0.0
1097728,1586,0.8942567,1784.2161910533905,-0.024085239,5,809.37,0.008345871,0.48,0.021489656,0.8256309330463409,0.0
1101824,1590,0.93942535,1850.8572218418121,-0.025315726,4,815.0,0.010610296,0.3,0.015811887,0.8998500779271126,0.0
1105920,1595,0.9272517,1855.0032830238342,-0.027086627,5,820.19,0.008667631,0.27,0.024931978,0.8280161768198013,0.0
1110016,1600,0.9001473,1859.273621082306,-0.024228405,5,819.6,0.0074031544,0.32,0.019586602,0.8679393827915192,0.0
1114112,1605,0.8900119,1863.4877190589905,-0.02476651,5,817.7,0.00892706,0.33,0.02584435,0.8243884444236755,0.0
1118208,1610,0.8826431,1867.6384539604187,-0.025720812,5,815.36,0.008240546,0.53,0.02229981,0.8387575596570969,0.0
1122304,1615,0.92347,1871.861788034439,-0.022130486,5,808.88,0.0074855993,0.48,0.018659892,0.8386959731578827,0.0
1126400,1620,0.89384145,1876.382562160492,-0.026002724,5,807.91,0.007905725,0.62,0.017243318,0.8997131586074829,0.0
1130496,1624,0.8693556,1881.158392906189,-0.024430096,4,819.18,0.0073319413,0.63,0.02223495,0.8568538278341293,0.0
1134592,1629,0.92979276,1885.8686079978943,-0.025717784,5,825.05,0.007414262,0.68,0.015170646,0.8998939767479897,0.0
1138688,1634,0.9458308,1890.3910069465637,-0.021835199,5,822.03,0.009724208,0.66,0.018386396,0.8905595317482948,0.0
1142784,1638,0.91943043,1894.626554965973,-0.025296414,4,825.83,0.008826415,0.73,0.018235343,0.867386981844902,0.0
1146880,1644,0.8841804,1898.934595823288,-0.022885706,6,830.51,0.0062099635,0.73,0.018634344,0.8794590160250664,0.0
1150976,1649,0.85620844,1903.760845899582,-0.026329832,5,834.91,0.0073599545,0.82,0.017729523,0.8521870225667953,0.0
1155072,1654,0.898821,1908.3829729557037,-0.023474323,5,839.71,0.008039116,0.86,0.015435124,0.8706828504800797,0.0
1159168,1659,0.9112169,1913.04562997818,-0.027657822,5,834.26,0.0094189,0.84,0.01911967,0.8645107001066208,0.0
1163264,1663,0.9367134,1917.1714761257172,-0.025304599,4,835.47,0.008964265,0.87,0.019610163,0.8599918335676193,0.0
1167360,1669,0.93895537,1921.3895580768585,-0.021825578,6,831.41,0.00799986,0.83,0.013791376,0.873082846403122,0.0
1171456,1673,0.85272604,1925.651121854782,-0.0266982,4,826.79,0.010503176,0.84,0.020239782,0.8612443506717682,0.0
1175552,1679,0.87088144,1929.8507249355316,-0.024671657,6,832.26,0.0092505235,1.0,0.021781398,0.8151784837245941,0.0
1179648,1684,0.91265845,1934.2071151733398,-0.024176197,5,829.98,0.008490511,1.03,0.019975923,0.8619983196258545,0.0
1183744,1689,0.9112059,1938.6574039459229,-0.027120821,5,831.18,0.008712191,1.13,0.01865042,0.8207473456859589,0.0
1187840,1694,0.8612515,1943.0019490718842,-0.027032105,5,829.12,0.008511362,1.2,0.018191362,0.8503669202327728,0.0
1191936,1699,0.898607,1947.360864162445,-0.024799012,5,825.39,0.007450703,1.23,0.020196255,0.8894699439406395,0.0
1196032,1704,0.88275653,1952.3114597797394,-0.02413807,5,831.51,0.00782707,1.28,0.023949647,0.8031693249940872,0.0
