total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
680500,0.0001127234791056253,136100,-0.4402613639831543,778,2.0567662715911865,-4.87,601.27
681000,0.000424108759034425,136200,-3.060771942138672,778,2.075050115585327,-4.87,601.27
681500,0.00019737200636882335,136300,0.7364902794361115,779,2.054973840713501,-4.87,602.27
682000,0.0004505084943957627,136400,-3.133584976196289,779,2.021782875061035,-4.87,602.13
682500,0.1112033873796463,136500,-4099.04052734375,779,2.063995838165283,-4.87,602.13
683000,6.682210369035602e-05,136600,0.8465531021356583,780,2.0681724548339844,-4.87,607.71
683500,2.8780161301256157e-05,136700,0.16529250144958496,780,2.078075408935547,-4.87,608.51
684000,9.506611968390644e-05,136800,0.8779930099844933,780,2.049072027206421,-4.87,610.9
684500,0.00047404650831595063,136900,-1.5030455589294434,781,2.025233745574951,-4.87,610.9
685000,0.0035210740752518177,137000,-33.58115768432617,781,2.063265562057495,-4.87,610.98
685500,0.0014201111625880003,137100,-2.5762362480163574,781,2.0610084533691406,-4.87,611.5
686000,3.5673172533279285e-05,137200,-1.1235485076904297,782,2.0734806060791016,-4.87,610.92
686500,0.00023373091244138777,137300,-7.112210273742676,782,2.075767993927002,-4.87,613.82
687000,0.0001897676265798509,137400,-0.03255414962768555,782,2.069517135620117,-4.87,613.77
687500,0.0009051493252627552,137500,-1.7789480686187744,783,2.061896562576294,-4.87,613.85
688000,8.574069943279028e-05,137600,-0.1311560869216919,783,2.0601189136505127,-4.87,613.88
688500,7.426829142787028e-06,137700,0.8423567712306976,783,2.05543851852417,-4.87,613.88
689000,7.31138152332278e-06,137800,-0.505690336227417,784,2.0766701698303223,-4.87,616.93
689500,4.156412251177244e-05,137900,-1.7866287231445312,784,2.072439670562744,-4.87,614.85
690000,7.818936865078285e-05,138000,0.6849231719970703,784,2.0711090564727783,-4.87,613.84
690500,0.0013327577617019415,138100,-20.68292999267578,784,2.0526037216186523,-4.87,612.79
691000,0.00014972189092077315,138200,-1.8456547260284424,785,2.0715739727020264,-4.87,612.79
691500,0.003882999997586012,138300,-74.45941162109375,785,2.054274797439575,-4.87,614.67
692000,0.00011087629536632448,138400,0.4309263825416565,785,2.0696754455566406,-4.87,614.05
692500,0.0001789717498468235,138500,0.15043777227401733,786,2.0666134357452393,-4.87,614.11
693000,0.00021490143262781203,138600,0.6984881460666656,786,2.0572993755340576,-4.87,614.11
693500,0.0007683510193601251,138700,0.03125971555709839,786,2.0158419609069824,-4.87,611.95
694000,0.0006809747428633273,138800,-4.291565418243408,787,2.0735421180725098,-4.86,609.64
694500,0.0001470234419684857,138900,-2.3054444789886475,787,2.0644619464874268,-4.86,609.64
695000,5.6295924878213555e-05,139000,0.6486700773239136,787,2.0653252601623535,-4.86,611.5
